County Name,Ctfips,Geography Selector,LHD Name,CTPopulation,Average Yrsof Schooling,Good Air Quality Index,High Employment Access,High Health Care Access,Income Equality GINI,Job Participation High Labor Force,Less Deprived Area Townsend Index,LILA Food Access,More Affordability Index,More Walkability Environment Index,Pop WeightedDensity,Racial Dissimilarity Index,Stables Pop Churning
Alexandria city,51510200102,Alexandria city,Alexandria LHD,4524,0.734769901,0.670120719,0.123707371,0.464408159,0.485695007,0.823,0.325623521,0.066697553,0.576576577,0.328239262,0.150295436,0.915115454,0.756997455
Alexandria city,51510200103,Alexandria city,Alexandria LHD,7247,0.72491891,0.616081598,0.141959972,0.465968249,0.456410256,0.796,0.298160929,0.066697553,0.510510511,0.168021559,0.298570957,0.831973853,0.756997455
Alexandria city,51510200104,Alexandria city,Alexandria LHD,3893,0.734893406,0.643209503,0.125980066,0.444858992,0.508232119,0.764,0.292208757,0.066697553,0.521521522,0.224217752,0.148553135,0.760878905,0.606870229
Alexandria city,51510200105,Alexandria city,Alexandria LHD,4834,0.747167337,0.580365712,0.134115347,0.442811334,0.512820513,0.831,0.195269836,0.066697553,0.523523524,0.266506584,0.666856184,0.748034534,0.786259542
Alexandria city,51510200106,Alexandria city,Alexandria LHD,3102,0.802268516,0.804315825,0.088872567,0.442811334,0.430364372,0.616,0.305863158,0.066697553,0.61961962,0.283657079,0.193837427,0.913188928,0.805343511
Alexandria city,51510200107,Alexandria city,Alexandria LHD,5626,0.851515571,0.770549468,0.128420212,0.440439276,0.476653171,0.885,0.374080192,0.066697553,0.621621622,0.359962572,0.296107972,0.687722675,0.580152672
Alexandria city,51510200201,Alexandria city,Alexandria LHD,3268,0.843605264,0.663366241,0.113634745,0.432787807,0.425775978,0.771,0.395921849,0.066697553,0.652652653,0.266395992,0.05739934,0.762601365,0.713740458
Alexandria city,51510200202,Alexandria city,Alexandria LHD,1645,0.901743805,0.655330051,0.08433213,0.43157985,0.418353576,0.64,0.693849156,0.066697553,0.778778779,0.173827078,0.031674575,0.861662773,0.87913486
Alexandria city,51510200301,Alexandria city,Alexandria LHD,3056,0.799537575,0.629866072,0.122639933,0.442811334,0.575843455,0.807,0.350689462,0.066697553,0.61961962,0.204477959,0.330200004,0.611331518,0.790076336
Alexandria city,51510200302,Alexandria city,Alexandria LHD,4670,0.796745808,0.678810549,0.123254472,0.442811334,0.471255061,0.781,0.38229574,0.066697553,0.674674675,0.204992353,0.183257027,0.873860416,0.731552163
Alexandria city,51510200303,Alexandria city,Alexandria LHD,4832,0.785355308,0.59602785,0.114122557,0.442811334,0.488259109,0.768,0.284449426,0.066697553,0.567567568,0.269957245,0.507336211,0.96420762,0.624681934
Alexandria city,51510200403,Alexandria city,Alexandria LHD,1401,0.860431779,0.983707269,0.176956148,0.43997815,0.629554656,0.902,0.628899429,0.066697553,0.714714715,0.285489228,0.032058792,0.694941031,0.669211196
Alexandria city,51510200404,Alexandria city,Alexandria LHD,3865,0.904710211,0.966384865,0.13414305,0.441409898,0.549527665,0.817,0.561226864,0.066697553,0.708708709,0.738628236,0.172506727,0.924923813,0.739185751
Alexandria city,51510200405,Alexandria city,Alexandria LHD,6617,0.817664378,0.701650744,0.146695955,0.443668448,0.47611336,0.842,0.24876467,0.066697553,0.540540541,0.296342516,0.184622884,0.955280202,0.553435115
Alexandria city,51510200406,Alexandria city,Alexandria LHD,4889,0.767873857,0.789319678,0.117014925,0.445716106,0.606747638,0.857,0.255628961,0.066697553,0.607607608,0.302384546,0.268777491,0.722800562,0.751908397
Alexandria city,51510200407,Alexandria city,Alexandria LHD,4549,0.830929833,0.80661579,0.094355256,0.458152323,0.518353576,0.722,0.345032028,0.066697553,0.608608609,0.28976175,0.427245864,0.880021077,0.872773537
Alexandria city,51510200500,Alexandria city,Alexandria LHD,4139,0.816004576,0.629009335,0.137837838,0.434959937,0.533198381,0.821,0.37669828,0.066697553,0.492492492,0.264038363,0.196766804,0.970141668,0.555979644
Alexandria city,51510200600,Alexandria city,Alexandria LHD,5092,0.734457653,0.658274769,0.105677267,0.432787807,0.443724696,0.705,0.42537085,0.066697553,0.644644645,0.27053181,0.149932318,0.795503311,0.900763359
Alexandria city,51510200701,Alexandria city,Alexandria LHD,708,0.903667444,0.92868478,0.20591133,0.421735614,0.698785425,0.865,0.683299787,0.066697553,0.624624625,0.339243178,0.02135291,0.78104212,0.175572519
Alexandria city,51510200702,Alexandria city,Alexandria LHD,4258,0.878409592,0.914578418,0.082872928,0.421735614,0.589338731,0.754,0.403111927,0.066697553,0.698698699,0.339127911,0.103934004,0.794051394,0.391857506
Alexandria city,51510200703,Alexandria city,Alexandria LHD,2864,0.866878705,0.747492957,0.119947849,0.405909637,0.408906883,0.765,0.375273689,0.066697553,0.718718719,0.407922156,0.10380186,0.823017577,0.770992366
Alexandria city,51510200801,Alexandria city,Alexandria LHD,2928,0.872390577,0.680970812,0.095652174,0.42493641,0.396491228,0.664,0.520095385,0.066697553,0.742742743,0.335837127,0.045394228,0.800521247,0.903307888
Alexandria city,51510200802,Alexandria city,Alexandria LHD,3015,0.815523026,0.652002168,0.126823436,0.421735614,0.435087719,0.714,0.44514033,0.066697553,0.684684685,0.314704682,0.100869152,0.893122078,0.867684478
Alexandria city,51510200900,Alexandria city,Alexandria LHD,4860,0.887938696,0.67643018,0.122646171,0.42493641,0.48488529,0.762,0.544157655,0.066697553,0.746746747,0.423668411,0.068137425,0.728577309,0.876590331
Alexandria city,51510201000,Alexandria city,Alexandria LHD,2763,0.878725161,0.631993288,0.140418807,0.425264035,0.543454791,0.869,0.560463668,0.066697553,0.656656657,0.175101492,0.107269806,0.906349847,0.805343511
Alexandria city,51510201100,Alexandria city,Alexandria LHD,3226,0.890156721,0.659429951,0.125484889,0.425264035,0.423616734,0.746,0.568636356,0.066697553,0.748748749,0.301476034,0.084667636,0.525592442,0.857506361
Alexandria city,51510201202,Alexandria city,Alexandria LHD,3311,0.860222017,0.64012515,0.138310709,0.421045537,0.453576248,0.796,0.479713646,0.066697553,0.670670671,0.439706473,0.179927887,0.914027355,0.729007634
Alexandria city,51510201203,Alexandria city,Alexandria LHD,6011,0.618928408,0.625231784,0.142602798,0.424246333,0.424291498,0.827,0.178987265,0.066697553,0.466466466,0.357545473,0.251054653,0.895149865,0.756997455
Alexandria city,51510201204,Alexandria city,Alexandria LHD,3201,0.724492415,0.6019436,0.116302865,0.410064287,0.507422402,0.847,0.299086907,0.066697553,0.661661662,0.408259308,0.193637546,0.680361317,0.828244275
Alexandria city,51510201300,Alexandria city,Alexandria LHD,3360,0.830462224,0.581146745,0.125243446,0.410064287,0.502834008,0.794,0.402930419,0.066697553,0.676676677,0.39310792,0.085139578,0.910519823,0.765903308
Alexandria city,51510201400,Alexandria city,Alexandria LHD,4333,0.847678858,0.650571671,0.136839013,0.421045537,0.389608637,0.819,0.380821136,0.066697553,0.682682683,0.465614848,0.130902477,0.847347161,0.896946565
Alexandria city,51510201500,Alexandria city,Alexandria LHD,3744,0.884116359,0.642788826,0.106160506,0.421481511,0.423616734,0.672,0.701104309,0.066697553,0.745745746,0.378434462,0.098279574,0.767776474,0.811704835
Alexandria city,51510201600,Alexandria city,Alexandria LHD,4774,0.851803368,0.562188704,0.133098414,0.406108276,0.502968961,0.747,0.286600829,0.066697553,0.684684685,0.49911558,0.181077206,0.820944699,0.652671756
Alexandria city,51510201801,Alexandria city,Alexandria LHD,5351,0.888841458,0.603192691,0.118611584,0.40461268,0.433063428,0.803,0.471530998,0.066697553,0.723723724,0.449894639,0.076260392,0.712201702,0.823155216
Alexandria city,51510201802,Alexandria city,Alexandria LHD,1995,0.896724919,0.601700753,0.107457213,0.402259969,0.392982456,0.781,0.430120459,0.066697553,0.717717718,0.80318876,0.155826605,0.718384263,0.802798982
Alexandria city,51510201900,Alexandria city,Alexandria LHD,1576,0.8701487,0.499484925,0.130807018,0.405343387,0.446558704,0.788,0.409966505,0.066697553,0.686686687,1,0.072670296,0.892674779,0.643765903
Alexandria city,51510202001,Alexandria city,Alexandria LHD,2015,0.923803271,0.625982698,0.096984033,0.40187559,0.419838057,0.716,0.622514846,0.066697553,0.705705706,0.605260145,0.136294839,0.812177804,0.863867684
Alexandria city,51510202002,Alexandria city,Alexandria LHD,2142,0.910388607,0.662720268,0.139810924,0.398178842,0.321592443,0.755,0.435661054,0.066697553,0.6996997,0.363379508,0.110075922,0.900932151,0.754452926
Alleghany County,51005070100,Alleghany County,Alleghany LHD,4117,0.689131009,0.915623637,0.0198302,0.321563546,0.358839406,0.508,0.261170286,0.00015731,0.452452452,0.232803033,0.022462253,0.84441112,0.739185751
Alleghany County,51005080100,Alleghany County,Alleghany LHD,3465,0.669923102,0.903920311,0.025195246,0.319508794,0.43022942,0.55,0.585990332,0.00028708,0.495495495,0.089604798,0.00063629,0.821480633,0.984732824
Alleghany County,51005080201,Alleghany County,Alleghany LHD,2595,0.6889934,0.89424319,0.014564007,0.217439338,0.4317139,0.634,0.534039515,0.05786127,0.613613614,0.096307943,0.000605197,0.858206258,0.875318066
Alleghany County,51005080202,Alleghany County,Alleghany LHD,2460,0.690512925,0.904304521,0.030730223,0.268243825,0.51754386,0.546,0.658451046,0.00519375,0.652652653,0.06076897,0.003687816,0.51135284,0.945292621
